video_id,title,url,view_count,genre,country
T3VsDRp3tbM,Soul of the 70s,https://www.youtube.com/watch?v=T3VsDRp3tbM,395,soul,Unknown
OfLRkeP8RpY,Rare 70's ARABIC SOUL JAZZ,https://www.youtube.com/watch?v=OfLRkeP8RpY,463,soul,Unknown
2b5_-6ecQq8,Rare Modern Soul 45 Jewel - Paradise,https://www.youtube.com/watch?v=2b5_-6ecQq8,2350,soul,Unknown
XPHuV5T8WHk,"🎵70s–80s Soul, Funk, Disco & R&B Night Grooves Vibes | Evening Ride",https://www.youtube.com/watch?v=XPHuV5T8WHk,483,soul,Unknown
2f_wn_o0pG8,Carol Williams — Only Way of Living — Rare '70s Unreleased Soul,https://www.youtube.com/watch?v=2f_wn_o0pG8,1691,soul,Unknown
vA2RAePb9jY,🎵70s & 80s Soul & Funk Groove Vibes – Vinyl Nights #8 - Every Doubt,https://www.youtube.com/watch?v=vA2RAePb9jY,378,soul,Unknown
jr1z_QwNI4s,Shirley Brooks - Hold Me After Closing Time (Rare 70s Soul),https://www.youtube.com/watch?v=jr1z_QwNI4s,213,soul,Unknown
EJjrJO6bmpA,"Rare Philly disco soul first T.K. Disco 12"" (1976) Wild Honey - At The Top Of The Stairs Ron Kersey",https://www.youtube.com/watch?v=EJjrJO6bmpA,1984,soul,Unknown
8CzAdtt9yoI,Rare Groove & G-Funk 70s #Serie #Episode #3 (TRACKLIST),https://www.youtube.com/watch?v=8CzAdtt9yoI,11280,soul,Unknown
yz99fS7-sKM,Beat Cinema Vol. 5 | 1970s Rare Soul Ride (Visual By @HiggsfieldAI),https://www.youtube.com/watch?v=yz99fS7-sKM,20,soul,Unknown
rOZ4Tgbv7Ak,Time Ain’t On My Side – Lee Moses Style Rare 70s Soul,https://www.youtube.com/watch?v=rOZ4Tgbv7Ak,45,soul,Unknown
LRcoNfO2nYU,Rare Gospel Sweet Soul LP Ballard Brothers - Ive Been Crying,https://www.youtube.com/watch?v=LRcoNfO2nYU,879,soul,Unknown
fmW6SzorNqQ,RARE SOUL LP - CAROL WOODS - Out Of The Woods - 1972 Ember,https://www.youtube.com/watch?v=fmW6SzorNqQ,27384,soul,Unknown
NkhIhNgSxv4,Shirley Brooks - After Hours Love (Rare 70s Soul),https://www.youtube.com/watch?v=NkhIhNgSxv4,236,soul,Unknown
